Timestamps,Speed,P Error,I Error,Distance,Data Available,dt
1823562,74,545,39766,845,0,5
1823571,80,631,45445,931,1,9
1823571,80,631,45445,931,1,9
1823582,80,551,51506,851,0,11
1823582,80,551,51506,851,0,11
1823592,80,958,61086,1258,1,10
1823592,80,958,61086,1258,1,10
1823603,80,1129,73505,1429,0,11
1823603,80,1129,73505,1429,0,11
1823613,80,1056,1,1356,1,10
1823613,80,1056,1,1356,1,10
1823630,80,1135,19296,1435,0,17
1823630,80,1135,19296,1435,0,17
1823641,80,771,27777,1071,1,11
1823641,80,771,27777,1071,1,11
1823652,80,660,35037,960,0,11
1823652,80,660,35037,960,0,11
1823657,68,498,37527,798,0,5
1823657,68,498,37527,798,0,5
1823666,80,823,44934,1123,1,9
1823666,80,823,44934,1123,1,9
1823677,80,845,54229,1145,0,11
1823677,80,845,54229,1145,0,11
1823687,72,433,58559,733,1,10
1823687,72,433,58559,733,1,10
1823698,53,229,61078,529,0,11
1823698,53,229,61078,529,0,11
1823708,54,231,63388,531,1,10
1823708,54,231,63388,531,1,10
1823719,44,126,64774,426,0,11
1823719,44,126,64774,426,0,11
1823730,80,544,70758,844,1,11
1823730,80,544,70758,844,1,11
1823747,78,785,1,1085,0,17
1823747,78,785,1,1085,0,17
1823758,32,312,3433,612,1,11
1823758,32,312,3433,612,1,11
1823772,22,196,6177,496,0,14
1823772,22,196,6177,496,0,14
1823783,34,299,9466,599,1,11
1823783,34,299,9466,599,1,11
1823789,35,296,11242,596,0,6
1823789,35,296,11242,596,0,6
1823794,35,291,12697,591,0,5
1823794,35,291,12697,591,0,5
1823809,41,326,17587,626,1,15
1823809,41,326,17587,626,1,15
1823820,44,337,21294,637,0,11
1823820,44,337,21294,637,0,11
1823825,46,353,23059,653,0,5
1823825,46,353,23059,653,0,5
1823835,53,404,27099,704,1,10
1823835,53,404,27099,704,1,10
1823846,59,437,31906,737,0,11
1823846,59,437,31906,737,0,11
1823857,80,700,39606,1000,1,11
1823857,80,700,39606,1000,1,11
1823868,80,848,48934,1148,0,11
1823868,80,848,48934,1148,0,11
1823879,75,484,54258,784,1,11
1823879,75,484,54258,784,1,11
1823895,62,327,59490,627,0,16
1823895,62,327,59490,627,0,16
1823904,80,673,65547,973,1,9
1823904,80,673,65547,973,1,9
1823915,80,756,73863,1056,0,11
1823915,80,756,73863,1056,0,11
1823925,68,302,76883,602,1,10
1823925,68,302,76883,602,1,10
1823936,49,108,78071,408,0,11
1823936,49,108,78071,408,0,11
1823947,31,310,1,610,1,11
1823947,31,310,1,610,1,11
1823964,34,316,5373,616,0,17
1823964,34,316,5373,616,0,17
1823973,58,536,10197,836,1,9
1823973,58,536,10197,836,1,9
1823984,71,631,17138,931,0,11
1823984,71,631,17138,931,0,11
1823994,47,374,20878,674,1,10
1823994,47,374,20878,674,1,10
1824005,41,290,24068,590,0,11
1824005,41,290,24068,590,0,11
1824016,36,232,26620,532,1,11
1824016,36,232,26620,532,1,11
1824027,30,161,28391,461,0,11
1824027,30,161,28391,461,0,11
1824038,58,422,33033,722,1,11
1824038,58,422,33033,722,1,11
1824049,71,517,38720,817,0,11
1824049,71,517,38720,817,0,11
1824058,80,689,44921,989,0,9
1824058,80,689,44921,989,0,9
1824063,80,611,47976,911,1,5
1824063,80,611,47976,911,1,5
1824069,80,656,51912,956,0,6
1824069,80,656,51912,956,0,6
1824080,55,277,54959,577,1,11
1824080,55,277,54959,577,1,11
1824096,23,-37,54367,263,0,16
1824096,23,-37,54367,263,0,16
1824101,-18,-449,52122,-149,0,5
1824101,-18,-449,52122,-149,0,5
1824108,67,403,54943,703,1,7
1824108,67,403,54943,703,1,7
1824119,75,452,59915,752,0,11
1824119,75,452,59915,752,0,11
1824125,80,528,63083,828,0,6
1824125,80,528,63083,828,0,6
1824133,63,308,65547,608,1,8
1824133,63,308,65547,608,1,8
1824144,60,267,68484,567,0,11
1824144,60,267,68484,567,0,11
1824154,80,567,74154,867,1,10
1824154,80,567,74154,867,1,10
1824165,70,702,1,1002,0,11
1824165,70,702,1,1002,0,11
1824175,36,347,3471,647,1,10
1824175,36,347,3471,647,1,10
1824192,20,169,6344,469,0,17
1824192,20,169,6344,469,0,17
1824197,64,596,9324,896,1,5
1824197,64,596,9324,896,1,5
1824214,80,788,22720,1088,0,17
1824214,80,788,22720,1088,0,17
1824225,80,809,31619,1109,1,11
1824225,80,809,31619,1109,1,11
1824236,80,892,41431,1192,0,11
1824236,80,892,41431,1192,0,11
1824241,80,1013,46496,1313,0,5
1824241,80,1013,46496,1313,0,5
1824252,64,395,50841,695,1,11
1824252,64,395,50841,695,1,11
1824263,49,227,53338,527,0,11
1824263,49,227,53338,527,0,11
1824268,24,-18,53248,282,0,5
1824268,24,-18,53248,282,0,5
1824277,80,788,60340,1088,1,9
1824277,80,788,60340,1088,1,9
1824288,80,960,70900,1260,0,11
1824288,80,960,70900,1260,0,11
1824293,80,1211,76955,1511,0,5
1824293,80,1211,76955,1511,0,5
1824300,52,521,1,821,1,7
1824300,52,521,1,821,1,7
1824311,41,394,4335,694,0,11
1824311,41,394,4335,694,0,11
1824316,23,209,5380,509,0,5
1824316,23,209,5380,509,0,5
1824323,50,462,8614,762,1,7
1824323,50,462,8614,762,1,7
1824333,50,437,12984,737,0,10
1824333,50,437,12984,737,0,10
1824338,47,399,14979,699,0,5
1824338,47,399,14979,699,0,5
1824346,29,209,16651,509,1,8
1824346,29,209,16651,509,1,8
1824357,17,88,17619,388,0,11
1824357,17,88,17619,388,0,11
1824362,0,-88,17179,212,0,5
1824362,0,-88,17179,212,0,5
1824369,61,513,20770,813,1,7
1824369,61,513,20770,813,1,7
1824373,68,565,23030,865,0,4
1824373,68,565,23030,865,0,4
1824388,80,816,35270,1116,0,15
1824388,80,816,35270,1116,0,15
1824399,55,357,39197,657,1,11
1824399,55,357,39197,657,1,11
1824412,50,290,42967,590,0,13
1824412,50,290,42967,590,0,13
1824423,80,615,49732,915,1,11
1824423,80,615,49732,915,1,11
1824439,80,787,62324,1087,0,16
1824439,80,787,62324,1087,0,16
1824444,79,467,64659,767,1,5
1824444,79,467,64659,767,1,5
1824455,73,390,68949,690,0,11
1824455,73,390,68949,690,0,11
1824466,80,445,73844,745,1,11
1824466,80,445,73844,745,1,11
1824483,42,428,1,728,0,17
1824483,42,428,1,728,0,17
1824491,80,806,6449,1106,1,8
1824491,80,806,6449,1106,1,8
1824502,80,964,17053,1264,0,11
1824502,80,964,17053,1264,0,11
1824507,80,1195,23028,1495,0,5
1824507,80,1195,23028,1495,0,5
1824512,73,606,26058,906,1,5
1824512,73,606,26058,906,1,5
1824529,61,445,33623,745,0,17
1824529,61,445,33623,745,0,17
1824537,80,684,39095,984,1,8
1824537,80,684,39095,984,1,8
1824548,80,718,46993,1018,0,11
1824548,80,718,46993,1018,0,11
1824558,80,654,53533,954,1,10
1824558,80,654,53533,954,1,10
1824569,80,639,60562,939,0,11
1824569,80,639,60562,939,0,11
1824580,80,735,68647,1035,1,11
1824580,80,735,68647,1035,1,11
1824597,79,797,1,1097,0,17
1824597,79,797,1,1097,0,17
1824608,73,693,7624,993,1,11
1824608,73,693,7624,993,1,11
1824624,76,669,18328,969,0,16
1824624,76,669,18328,969,0,16
1824635,65,530,24158,830,1,11
1824635,65,530,24158,830,1,11
1824646,61,464,29262,764,0,11
1824646,61,464,29262,764,0,11
1824651,52,368,31102,668,0,5
1824651,52,368,31102,668,0,5
1824660,74,567,36205,867,1,9
1824660,74,567,36205,867,1,9
1824671,79,583,42618,883,0,11
1824671,79,583,42618,883,0,11
1824678,80,609,46881,909,0,7
1824678,80,609,46881,909,0,7
1824689,63,384,51105,684,1,11
1824689,63,384,51105,684,1,11
1824699,59,321,54315,621,0,10
1824699,59,321,54315,621,0,10
1824710,80,537,60222,837,1,11
1824710,80,537,60222,837,1,11
1824727,80,660,71442,960,0,17
1824727,80,660,71442,960,0,17
1824736,80,554,76428,854,1,9
1824736,80,554,76428,854,1,9
1824747,56,561,1,861,0,11
1824747,56,561,1,861,0,11
1824758,51,491,5402,791,1,11
1824758,51,491,5402,791,1,11
1824769,51,460,10462,760,0,11
1824769,51,460,10462,760,0,11
1824780,37,307,13839,607,1,11
1824780,37,307,13839,607,1,11
1824791,29,215,16204,515,0,11
1824791,29,215,16204,515,0,11
1824802,79,673,23607,973,1,11
1824802,79,673,23607,973,1,11
1824815,80,889,35164,1189,0,13
1824815,80,889,35164,1189,0,13
1824826,70,505,40719,805,1,11
1824826,70,505,40719,805,1,11
1824842,62,393,47007,693,0,16
1824842,62,393,47007,693,0,16
1824852,80,648,53487,948,1,10
1824852,80,648,53487,948,1,10
1824863,80,708,61275,1008,0,11
1824863,80,708,61275,1008,0,11
1824868,80,796,65255,1096,0,5
1824868,80,796,65255,1096,0,5
1824874,80,557,68597,857,1,6
1824874,80,557,68597,857,1,6
1824885,80,512,74229,812,0,11
1824885,80,512,74229,812,0,11
1824895,58,588,1,888,1,10
1824895,58,588,1,888,1,10
1824906,63,604,6645,904,0,11
1824906,63,604,6645,904,0,11
1824916,71,648,13125,948,1,10
1824916,71,648,13125,948,1,10
1824929,79,685,22030,985,0,13
1824929,79,685,22030,985,0,13
1824940,72,584,28454,884,1,11
1824940,72,584,28454,884,1,11
1824950,72,558,34034,858,0,10
1824950,72,558,34034,858,0,10
1824966,73,527,42466,827,1,16
1824966,73,527,42466,827,1,16
1824977,74,503,47999,803,0,11
1824977,74,503,47999,803,0,11
1824988,80,566,54225,866,1,11
1824988,80,566,54225,866,1,11
1824999,80,585,60660,885,0,11
1824999,80,585,60660,885,0,11
1825015,80,547,69412,847,1,16
1825015,80,547,69412,847,1,16
1825029,80,538,76944,838,0,14
1825029,80,538,76944,838,0,14
1825034,80,554,79714,854,1,5
1825034,80,554,79714,854,1,5
1825045,55,558,1,858,0,11
1825045,55,558,1,858,0,11
1825052,58,564,3949,864,0,7
1825052,58,564,3949,864,0,7
1825057,47,442,6159,742,1,5
1825057,47,442,6159,742,1,5
1825068,44,389,10438,689,0,11
1825068,44,389,10438,689,0,11
1825079,34,282,13540,582,0,11
1825079,34,282,13540,582,0,11
1825089,56,478,18320,778,1,10
1825089,56,478,18320,778,1,10
1825100,60,490,23710,790,0,11
1825100,60,490,23710,790,0,11
1825111,54,400,28110,700,1,11
1825111,54,400,28110,700,1,11
1825122,52,361,32081,661,0,11
1825122,52,361,32081,661,0,11
1825133,59,411,36602,711,1,11
1825133,59,411,36602,711,1,11
1825144,62,416,41178,716,0,11
1825144,62,416,41178,716,0,11
1825155,63,408,45666,708,1,11
1825155,63,408,45666,708,1,11
1825168,66,407,50957,707,0,13
1825168,66,407,50957,707,0,13
1825179,68,409,55456,709,1,11
1825179,68,409,55456,709,1,11
1825195,71,409,62000,709,0,16
1825195,71,409,62000,709,0,16
1825205,72,392,65920,692,1,10
1825205,72,392,65920,692,1,10
1825216,73,385,70155,685,0,11
1825216,73,385,70155,685,0,11
1825226,73,364,73795,664,1,10
1825226,73,364,73795,664,1,10
1825237,73,350,77645,650,0,11
1825237,73,350,77645,650,0,11
1825248,38,381,1,681,1,11
1825248,38,381,1,681,1,11
1825265,42,394,6699,694,0,17
1825265,42,394,6699,694,0,17
1825276,47,414,11253,714,1,11
1825276,47,414,11253,714,1,11
1825292,52,432,18165,732,0,16
1825292,52,432,18165,732,0,16
1825303,44,332,21817,632,1,11
1825303,44,332,21817,632,1,11
1825317,41,290,25877,590,0,14
1825317,41,290,25877,590,0,14
1825322,44,311,27432,611,1,5
1825322,44,311,27432,611,1,5
1825333,45,299,30721,599,0,11
1825333,45,299,30721,599,0,11
1825340,44,280,32681,580,0,7
1825340,44,280,32681,580,0,7
1825345,49,327,34316,627,1,5
1825345,49,327,34316,627,1,5
1825356,52,334,37990,634,0,11
1825356,52,334,37990,634,0,11
1825365,55,347,41113,647,0,9
1825365,55,347,41113,647,0,9
1825367,53,325,41763,625,1,2
1825367,53,325,41763,625,1,2
1825383,55,324,46947,624,0,16
1825383,55,324,46947,624,0,16
1825389,58,342,48999,642,1,6
1825389,58,342,48999,642,1,6
1825400,61,350,52849,650,0,11
1825400,61,350,52849,650,0,11
1825405,63,362,54659,662,0,5
1825405,63,362,54659,662,0,5
1825413,62,335,57339,635,1,8
1825413,62,335,57339,635,1,8
1825424,63,332,60991,632,0,11
1825424,63,332,60991,632,0,11
1825429,64,328,62631,628,0,5
1825429,64,328,62631,628,0,5
1825436,63,312,64815,612,1,7
1825436,63,312,64815,612,1,7
1825447,64,301,68126,601,0,11
1825447,64,301,68126,601,0,11
1825452,63,285,69551,585,0,5
1825452,63,285,69551,585,0,5
1825463,67,307,72928,607,1,11
1825463,67,307,72928,607,1,11
1825474,68,305,76283,605,0,11
1825474,68,305,76283,605,0,11
1825485,71,314,79737,614,1,11
1825485,71,314,79737,614,1,11
1825500,31,318,1,618,0,15
1825500,31,318,1,618,0,15
1825511,30,293,3224,593,1,11
1825511,30,293,3224,593,1,11
1825527,31,281,7720,581,0,16
1825527,31,281,7720,581,0,16
1825532,31,265,9045,565,0,5
1825532,31,265,9045,565,0,5
1825541,33,275,11520,575,1,9
1825541,33,275,11520,575,1,9
1825552,34,269,14479,569,0,11
1825552,34,269,14479,569,0,11
1825559,34,259,16292,559,0,7
1825559,34,259,16292,559,0,7
1825570,33,237,18899,537,1,11
1825570,33,237,18899,537,1,11
1825580,32,224,21139,524,0,10
1825580,32,224,21139,524,0,10
1825586,31,204,22363,504,0,6
1825586,31,204,22363,504,0,6
1825591,34,229,23508,529,1,5
1825591,34,229,23508,529,1,5
1825600,35,226,25542,526,0,9
1825600,35,226,25542,526,0,9
1825605,35,221,26647,521,0,5
1825605,35,221,26647,521,0,5
1825621,36,210,30007,510,1,16
1825621,36,210,30007,510,1,16
1825632,36,204,32251,504,0,11
1825632,36,204,32251,504,0,11
1825642,35,189,34141,489,1,10
1825642,35,189,34141,489,1,10
1825659,35,172,37065,472,0,17
1825659,35,172,37065,472,0,17
1825669,37,179,38855,479,1,10
1825669,37,179,38855,479,1,10
1825680,37,175,40780,475,0,11
1825680,37,175,40780,475,0,11
1825685,37,170,41630,470,0,5
1825685,37,170,41630,470,0,5
1825690,38,171,42485,471,1,5
1825690,38,171,42485,471,1,5
1825701,38,167,44322,467,0,11
1825701,38,167,44322,467,0,11
1825708,38,161,45449,461,0,7
1825708,38,161,45449,461,0,7
1825713,40,174,46319,474,1,5
1825713,40,174,46319,474,1,5
1825728,41,175,48944,475,0,15
1825728,41,175,48944,475,0,15
1825739,39,139,50473,439,1,11
1825739,39,139,50473,439,1,11
1825750,38,125,51848,425,0,11
1825750,38,125,51848,425,0,11
1825761,43,162,53630,462,1,11
1825761,43,162,53630,462,1,11
1825772,45,173,55533,473,0,11
1825772,45,173,55533,473,0,11
1825777,47,189,56478,489,0,5
1825777,47,189,56478,489,0,5
1825793,43,143,58766,443,1,16
1825793,43,143,58766,443,1,16
1825799,43,140,59606,440,0,6
1825799,43,140,59606,440,0,6
1825804,43,134,60276,434,0,5
1825804,43,134,60276,434,0,5
1825815,45,146,61882,446,1,11
1825815,45,146,61882,446,1,11
1825826,46,147,63499,447,0,11
1825826,46,147,63499,447,0,11
1825832,47,149,64393,449,0,6
1825832,47,149,64393,449,0,6
1825842,45,123,65623,423,1,10
1825842,45,123,65623,423,1,10
1825853,44,114,66877,414,0,11
1825853,44,114,66877,414,0,11
1825863,44,109,67967,409,1,10
1825863,44,109,67967,409,1,10
1825874,44,102,69089,402,0,11
1825874,44,102,69089,402,0,11
1825880,43,91,69635,391,0,6
1825880,43,91,69635,391,0,6
1825888,47,126,70643,426,1,8
1825888,47,126,70643,426,1,8
1825899,49,133,72106,433,0,11
1825899,49,133,72106,433,0,11
1825904,50,143,72821,443,0,5
1825904,50,143,72821,443,0,5
1825911,49,122,73675,422,1,7
1825911,49,122,73675,422,1,7
1825922,49,121,75006,421,0,11
1825922,49,121,75006,421,0,11
1825938,48,101,76622,401,1,16
1825938,48,101,76622,401,1,16
1825952,48,91,77896,391,0,14
1825952,48,91,77896,391,0,14
1825957,48,89,78341,389,1,5
1825957,48,89,78341,389,1,5
1825968,47,83,79254,383,0,11
1825968,47,83,79254,383,0,11
1825975,47,72,79758,372,0,7
1825975,47,72,79758,372,0,7
1825980,7,78,1,378,1,5
1825980,7,78,1,378,1,5
1825991,7,73,804,373,0,11
1825991,7,73,804,373,0,11
1826002,7,63,1497,363,0,11
1826002,7,63,1497,363,0,11
1826013,9,84,2421,384,1,11
1826013,9,84,2421,384,1,11
1826024,10,86,3367,386,0,11
1826024,10,86,3367,386,0,11
1826035,11,90,4357,390,0,11
1826035,11,90,4357,390,0,11
1826040,9,68,4697,368,1,5
1826040,9,68,4697,368,1,5
1826054,8,60,5537,360,0,14
1826054,8,60,5537,360,0,14
1826065,6,40,5977,340,1,11
1826065,6,40,5977,340,1,11
1826081,5,23,6345,323,0,16
1826081,5,23,6345,323,0,16
1826091,5,26,6605,326,1,10
1826091,5,26,6605,326,1,10
1826102,5,21,6836,321,0,11
1826102,5,21,6836,321,0,11
1826109,4,12,6920,312,0,7
1826109,4,12,6920,312,0,7
1826120,7,37,7327,337,1,11
1826120,7,37,7327,337,1,11
1826130,7,40,7727,340,0,10
1826130,7,40,7727,340,0,10
1826141,5,15,7892,315,1,11
1826141,5,15,7892,315,1,11
1826158,3,-2,7858,298,0,17
1826158,3,-2,7858,298,0,17
1826166,4,10,7938,310,1,8
1826166,4,10,7938,310,1,8
1826177,4,8,8026,308,0,11
1826177,4,8,8026,308,0,11
1826182,4,5,8051,305,0,5
1826182,4,5,8051,305,0,5
1826189,4,6,8093,306,1,7
1826189,4,6,8093,306,1,7
1826205,4,4,8157,304,0,16
1826205,4,4,8157,304,0,16
1826216,4,1,8168,301,1,11
1826216,4,1,8168,301,1,11
1826230,3,-1,8154,299,0,14
1826230,3,-1,8154,299,0,14
1826235,3,-6,8124,294,1,5
1826235,3,-6,8124,294,1,5
1826246,3,-10,8014,290,0,11
1826246,3,-10,8014,290,0,11
1826253,2,-16,7902,284,0,7
1826253,2,-16,7902,284,0,7
1826258,4,9,7947,309,1,5
1826258,4,9,7947,309,1,5
1826269,5,16,8123,316,0,11
1826269,5,16,8123,316,0,11
1826280,7,30,8453,330,0,11
1826280,7,30,8453,330,0,11
1826291,2,-16,8277,284,1,11
1826291,2,-16,8277,284,1,11
1826302,1,-24,8013,276,0,11
1826302,1,-24,8013,276,0,11
1826307,0,-36,7833,264,0,5
1826307,0,-36,7833,264,0,5
1826313,-1,-52,7521,248,0,6
1826313,-1,-52,7521,248,0,6
1826314,2,-8,7513,292,1,1
1826314,2,-8,7513,292,1,1
1826325,3,-5,7458,295,0,11
1826325,3,-5,7458,295,0,11
1826336,1,-23,7205,277,1,11
1826336,1,-23,7205,277,1,11
1826349,0,-31,6802,269,0,13
1826349,0,-31,6802,269,0,13
1826360,4,10,6912,310,1,11
1826360,4,10,6912,310,1,11
1826365,5,16,6992,316,0,5
1826365,5,16,6992,316,0,5
1826376,7,38,7410,338,0,11
1826376,7,38,7410,338,0,11
1826387,2,-10,7300,290,1,11
1826387,2,-10,7300,290,1,11
1826398,1,-18,7102,282,0,11
1826398,1,-18,7102,282,0,11
1826409,2,-10,6992,290,1,11
1826409,2,-10,6992,290,1,11
1826425,2,-10,6832,290,0,16
1826425,2,-10,6832,290,0,16
